1 BOTANICO
2 ROSA
2 RAFAEL
3 FATIMA
4 TRINIDAD
5 MBOCAYATY
6 TABLADA
7 MBURUCUYA
8 ASUNCION
9 CAÑADA
10 LYNCH
11 SALVADOR
12 JARA
13 HUERTO
14 LOMAS
15 DOMINGO
16 MERCEDES
17 FRANCIA
18 JORGE
19 ENCARNACION
20 SAN ANTONIO
21 MANORA
22 PUNTA
24 YCUA
25 ROQUE
26 MORRA
27 RECOLETA
28 CRISTOBAL
29 CIUDAD
30 DIAZ
31 PETTIROSSI
32 MBURICAO
33 CABALLERO
34 HERRERA
35 OBRERO
36 ESTIGARRIBIA
37 PINOZA
38 TEMBETARY
39 LAURELES
40 HIPODROMO
41 ZEBALLOS
42 RESIDENTA
43 GUAZU
44 YTAY
45 MARIA
46 AURELIA
47 VICENTE
48 ALEGRE
49 NAZARET
50 PABLO
51 TERMINAL
52 SAJONIA
53 CARLOS
23 LOPEZ
54 TACUMBU
55 L.
56 REPUBLICANO
57 ENRAMADA
58 BELLA
59 CATEDRAL
60 CARA
61 ANA
62 BAÑADO
63 BANCO
64 LOMA
65 BLAS
66 RICARDO
